ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
0,T_5,559,315,255,6,36116,-2104005.977,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_6,515,418,205,1,36116,-2104005.977,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_7,348,476,40,7,36116,-2104005.977,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_8,294,524,-18,3,36116,-2104005.977,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_9,128,557,-182,-14,36116,-2104005.977,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_10,328,621,14,0,36116,-2104005.977,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_11,233,675,-83,0,36116,-2104005.977,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_12,280,778,-34,-3,36116,-2104005.977,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_13,170,840,-146,11,36116,-2104005.977,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_14,442,870,124,-11,36116,-2104005.977,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_15,52,930,-258,-3,36116,-2104005.977,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_16,371,982,59,1,36116,-2104005.977,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_17,521,1043,207,14,36116,-2104005.977,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_18,957,49,-187,2,36116,-2104005.977,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_19,1099,116,-47,15,36116,-2104005.977,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_20,892,153,-256,-2,36116,-2104005.977,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:04:32,418,0,0,None
0,T_21,1254,206,108,1,36116,-2104005.977,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_22,1018,251,-124,-8,36116,-2104005.977,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_23,1105,314,-35,5,36116,-2104005.977,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_24,1190,417,50,2,36116,-2104005.977,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_25,1108,483,-40,16,36116,-2104005.977,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_26,1277,535,125,14,36116,-2104005.977,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_27,1369,582,221,7,36116,-2104005.977,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_28,1265,619,121,-4,36116,-2104005.977,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_29,1112,686,-34,13,36116,-2104005.977,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_30,1154,794,10,9,36116,-2104005.977,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_31,957,838,-189,3,36116,-2104005.977,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_32,1297,876,155,-5,36116,-2104005.977,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_33,1016,930,-134,1,36116,-2104005.977,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_34,1281,993,135,10,36116,-2104005.977,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_35,1060,1031,-82,-8,36116,-2104005.977,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:04:32,419,0,0,None
0,T_0,307,58,-5,13,36117,-2103865.02,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:04:32,557,0,0,None
0,T_1,431,106,115,7,36117,-2103865.02,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_2,370,149,54,4,36117,-2103865.02,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_3,323,197,7,-4,36117,-2103865.02,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_4,337,257,21,0,36117,-2103865.02,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_5,559,315,255,6,36117,-2103865.02,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_6,515,418,205,1,36117,-2103865.02,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_7,348,476,40,7,36117,-2103865.02,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_8,294,524,-18,3,36117,-2103865.02,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_9,128,557,-182,-14,36117,-2103865.02,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_10,328,621,14,0,36117,-2103865.02,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_11,233,675,-83,0,36117,-2103865.02,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_12,280,778,-34,-3,36117,-2103865.02,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_13,170,840,-146,11,36117,-2103865.02,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_14,442,870,124,-11,36117,-2103865.02,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_15,52,930,-258,-3,36117,-2103865.02,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_16,371,982,59,1,36117,-2103865.02,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_17,521,1043,207,14,36117,-2103865.02,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_18,957,49,-187,2,36117,-2103865.02,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_19,1099,116,-47,15,36117,-2103865.02,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_20,892,153,-256,-2,36117,-2103865.02,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_21,1254,206,108,1,36117,-2103865.02,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_22,1018,251,-124,-8,36117,-2103865.02,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_23,1105,314,-35,5,36117,-2103865.02,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_24,1190,417,50,2,36117,-2103865.02,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_25,1108,483,-40,16,36117,-2103865.02,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_26,1277,535,125,14,36117,-2103865.02,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_27,1369,582,221,7,36117,-2103865.02,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_28,1265,619,121,-4,36117,-2103865.02,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_29,1112,686,-34,13,36117,-2103865.02,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_30,1154,794,10,9,36117,-2103865.02,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_31,957,838,-189,3,36117,-2103865.02,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_32,1297,876,155,-5,36117,-2103865.02,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_33,1016,930,-134,1,36117,-2103865.02,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_34,1281,993,135,10,36117,-2103865.02,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_35,1060,1031,-82,-8,36117,-2103865.02,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:04:32,558,0,0,None
0,T_0,307,58,-5,13,36118,-2103726.345,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:04:32,697,0,0,None
0,T_1,431,106,115,7,36118,-2103726.345,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_2,370,149,54,4,36118,-2103726.345,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_3,323,197,7,-4,36118,-2103726.345,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_4,337,257,21,0,36118,-2103726.345,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_5,559,315,255,6,36118,-2103726.345,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_6,515,418,205,1,36118,-2103726.345,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_7,348,476,40,7,36118,-2103726.345,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_8,294,524,-18,3,36118,-2103726.345,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_9,128,557,-182,-14,36118,-2103726.345,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_10,328,621,14,0,36118,-2103726.345,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_11,233,675,-83,0,36118,-2103726.345,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_12,280,778,-34,-3,36118,-2103726.345,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_13,170,840,-146,11,36118,-2103726.345,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_14,442,870,124,-11,36118,-2103726.345,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_15,52,930,-258,-3,36118,-2103726.345,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_16,371,982,59,1,36118,-2103726.345,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_17,521,1043,207,14,36118,-2103726.345,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_18,957,49,-187,2,36118,-2103726.345,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_19,1099,116,-47,15,36118,-2103726.345,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_20,892,153,-256,-2,36118,-2103726.345,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_21,1254,206,108,1,36118,-2103726.345,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_22,1018,251,-124,-8,36118,-2103726.345,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_23,1105,314,-35,5,36118,-2103726.345,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_24,1190,417,50,2,36118,-2103726.345,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_25,1108,483,-40,16,36118,-2103726.345,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_26,1277,535,125,14,36118,-2103726.345,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_27,1369,582,221,7,36118,-2103726.345,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_28,1265,619,121,-4,36118,-2103726.345,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_29,1112,686,-34,13,36118,-2103726.345,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_30,1154,794,10,9,36118,-2103726.345,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_31,957,838,-189,3,36118,-2103726.345,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_32,1297,876,155,-5,36118,-2103726.345,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_33,1016,930,-134,1,36118,-2103726.345,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_34,1281,993,135,10,36118,-2103726.345,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_35,1060,1031,-82,-8,36118,-2103726.345,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:04:32,698,0,0,None
0,T_0,307,58,-5,13,36119,-2103586.245,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:04:32,836,0,0,None
0,T_1,431,106,115,7,36119,-2103586.245,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_2,370,149,54,4,36119,-2103586.245,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_3,323,197,7,-4,36119,-2103586.245,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_4,337,257,21,0,36119,-2103586.245,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_5,559,315,255,6,36119,-2103586.245,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_6,515,418,205,1,36119,-2103586.245,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_7,348,476,40,7,36119,-2103586.245,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_8,294,524,-18,3,36119,-2103586.245,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_9,128,557,-182,-14,36119,-2103586.245,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_10,328,621,14,0,36119,-2103586.245,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_11,233,675,-83,0,36119,-2103586.245,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_12,280,778,-34,-3,36119,-2103586.245,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_13,170,840,-146,11,36119,-2103586.245,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_14,442,870,124,-11,36119,-2103586.245,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_15,52,930,-258,-3,36119,-2103586.245,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_16,371,982,59,1,36119,-2103586.245,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_17,521,1043,207,14,36119,-2103586.245,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_18,957,49,-187,2,36119,-2103586.245,Left2,360,0,0,0,60160.78121,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_19,1099,116,-47,15,36119,-2103586.245,Left2,-1,0,0,0,32259.03366,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_20,892,153,-256,-2,36119,-2103586.245,Left2,-1,0,0,0,102136.7056,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_21,1254,206,108,1,36119,-2103586.245,Right2,-1,0,0,0,75914.60198,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_22,1018,251,-124,-8,36119,-2103586.245,Left2,360,0,0,0,42112.68916,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_23,1105,314,-35,5,36119,-2103586.245,Left2,-1,0,0,0,71771.07486,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_24,1190,417,50,2,36119,-2103586.245,Right2,360,0,0,0,115192.5302,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_25,1108,483,-40,16,36119,-2103586.245,Left2,180,0,0,0,32225.44651,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_26,1277,535,125,14,36119,-2103586.245,Right2,360,0,0,0,22688.39588,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_27,1369,582,221,7,36119,-2103586.245,Right2,-1,0,0,0,31627.76439,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_28,1265,619,121,-4,36119,-2103586.245,Right2,270,0,0,0,41132.63941,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_29,1112,686,-34,13,36119,-2103586.245,Left2,-1,0,0,0,44415.66757,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_30,1154,794,10,9,36119,-2103586.245,Right2,360,0,0,0,142842.5636,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_31,957,838,-189,3,36119,-2103586.245,Left2,-1,0,0,0,70696.67875,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_32,1297,876,155,-5,36119,-2103586.245,Right2,-1,0,0,0,169266.2192,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_33,1016,930,-134,1,36119,-2103586.245,Left2,360,0,0,0,85536.47888,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_34,1281,993,135,10,36119,-2103586.245,Right2,360,0,0,0,37816.99597,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_35,1060,1031,-82,-8,36119,-2103586.245,Left2,-1,0,0,0,37281.43299,NotFound,8/6/2024 11:04:32,837,0,0,None
0,T_0,307,58,-5,13,36120,-2103448.576,Left1,360,0,0,0,62993.3206,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_1,431,106,115,7,36120,-2103448.576,Right1,360,0,0,0,28448.24203,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_2,370,149,54,4,36120,-2103448.576,Right1,-1,0,0,0,15733.18913,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_3,323,197,7,-4,36120,-2103448.576,None,-1,0,0,0,25639.3092,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_4,337,257,21,0,36120,-2103448.576,Right1,360,0,0,0,17571.09238,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_5,559,315,255,6,36120,-2103448.576,Right1,-1,0,0,0,42509.22906,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_6,515,418,205,1,36120,-2103448.576,Right1,-1,0,0,0,131226.9066,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_7,348,476,40,7,36120,-2103448.576,Right1,-1,0,0,0,114794.034,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_8,294,524,-18,3,36120,-2103448.576,Left1,360,0,0,0,48955.74939,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_9,128,557,-182,-14,36120,-2103448.576,Left1,180,0,0,0,89318.88058,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_10,328,621,14,0,36120,-2103448.576,Right1,-1,0,0,0,66527.90752,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_11,233,675,-83,0,36120,-2103448.576,Left1,360,0,0,0,114969.3467,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_12,280,778,-34,-3,36120,-2103448.576,Left1,-1,0,0,0,166536.306,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_13,170,840,-146,11,36120,-2103448.576,Left1,360,0,0,0,30021.37888,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_14,442,870,124,-11,36120,-2103448.576,Right1,-1,0,0,0,163621.1588,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_15,52,930,-258,-3,36120,-2103448.576,Left1,45,0,0,0,79911.14079,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_16,371,982,59,1,36120,-2103448.576,Right1,-1,0,0,0,118618.1907,NotFound,8/6/2024 11:04:32,974,0,0,None
0,T_17,521,1043,207,14,36120,-2103448.576,Right1,360,0,0,0,45741.07963,NotFound,8/6/2024 11:04:32,974,0,0,None
